"Name","ID","Runtime","Sweep","accuracy","epoch","n_epochs","batch_size","n_mels","n_fft","win_length","hop_length","f_max","mix_up","normalize","learning_rate","arch","valid_loss","train_loss"
"prime-sweep-25","teuvljpj","2040","4w53cyvu","0.9049999713897704","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.3474859595298767","0.3292471766471863"
"skilled-sweep-24","hakrce32","2462","4w53cyvu","0.8999999761581421","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.34452491998672485","0.3099263906478882"
"snowy-sweep-23","v008ubp4","2431","4w53cyvu","0.8974999785423279","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.39472487568855286","0.3195675015449524"
"balmy-sweep-22","mwg8t0lr","2438","4w53cyvu","0.8999999761581421","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.3525969982147217","0.3374860882759094"
"golden-sweep-21","84tmuubf","2475","4w53cyvu","0.8924999833106995","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.3514705300331116","0.3270760774612427"
"desert-sweep-20","j115pkaw","2472","4w53cyvu","0.9350000023841858","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.2253839671611786","0.3328809440135956"
"efficient-sweep-19","h18fflea","2412","4w53cyvu","0.9325000047683716","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.227493017911911","0.31055977940559387"
"unique-sweep-18","yjp95hq0","2445","4w53cyvu","0.9424999952316284","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.22963032126426697","0.31740719079971313"
"firm-sweep-17","idez8ldr","2392","4w53cyvu","0.9399999976158142","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.23405000567436215","0.3348475396633148"
"azure-sweep-16","zm7dfzvf","2436","4w53cyvu","0.9449999928474426","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.2118339091539383","0.3295786380767822"
"toasty-sweep-15","ssqemcm4","2433","4w53cyvu","0.912500023841858","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.3204728066921234","0.336775004863739"
"ethereal-sweep-13","ijy5pr44","2442","4w53cyvu","0.9350000023841858","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.26545852422714233","0.31445083022117615"
"serene-sweep-14","1nn8xn8p","2435","4w53cyvu","0.9024999737739564","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.32321876287460327","0.3036345839500427"
"misty-sweep-12","qopj2ig5","2435","4w53cyvu","0.9275000095367432","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.29782360792160034","0.32830479741096497"
"dauntless-sweep-11","jkf7v5e7","2508","4w53cyvu","0.915000021457672","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.3187028765678406","0.3273794949054718"
"genial-sweep-10","5hjuuls9","2434","4w53cyvu","0.925000011920929","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.30329954624176025","0.330168753862381"
"avid-sweep-9","7tmqh6e5","2421","4w53cyvu","0.8974999785423279","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.32137858867645264","0.3091675341129303"
"genial-sweep-8","mkyhtkab","2491","4w53cyvu","0.9024999737739564","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.32875633239746094","0.31389811635017395"
"earthy-sweep-7","dsfizbu2","2520","4w53cyvu","0.8799999952316284","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.3725178241729736","0.33319514989852905"
"balmy-sweep-6","zzh6iz0s","2449","4w53cyvu","0.8725000023841858","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.3707357347011566","0.33303189277648926"
"fancy-sweep-5","mi0l4cfp","2474","4w53cyvu","0.9225000143051147","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.2792644202709198","0.3288721740245819"
"clear-sweep-4","3u0fcecj","2503","4w53cyvu","0.9225000143051147","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.27683693170547485","0.31208908557891846"
"legendary-sweep-3","u9p1ot95","2517","4w53cyvu","0.912500023841858","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.27111393213272095","0.3154112696647644"
"logical-sweep-2","5bobg4gc","2451","4w53cyvu","0.9350000023841858","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.25259730219841003","0.3322255313396454"
"super-sweep-1","5dycbwl1","2463","4w53cyvu","0.915000021457672","81","80","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.3201412856578827","0.33013689517974854"
"northern-sweep-75","27tkofuk","824","3wp1qhom","0.8600000143051147","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4709697961807251","0.344384104013443"
"true-sweep-74","dithev72","809","3wp1qhom","0.8675000071525574","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.46900996565818787","0.34093308448791504"
"decent-sweep-73","p9135wqo","809","3wp1qhom","0.8774999976158142","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4486778378486634","0.340787410736084"
"exalted-sweep-72","v5h2jave","817","3wp1qhom","0.8824999928474426","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4288677871227264","0.3276555836200714"
"pretty-sweep-71","xsvz8dpg","834","3wp1qhom","0.8774999976158142","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.42991745471954346","0.3278518319129944"
"quiet-sweep-70","scu0cn33","237","3wp1qhom","0.8450000286102295","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4995737969875336","0.44513463973999023"
"cerulean-sweep-69","rhff2q0t","237","3wp1qhom","0.8399999737739563","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5758785009384155","0.45792487263679504"
"fast-sweep-68","2u2lhjsx","235","3wp1qhom","0.8550000190734863","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.523078441619873","0.4488264322280884"
"eternal-sweep-67","2zhjut8a","232","3wp1qhom","0.8399999737739563","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5475965738296509","0.42848116159439087"
"dandy-sweep-66","pi83qj39","233","3wp1qhom","0.8450000286102295","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5121839046478271","0.4571363627910614"
"major-sweep-65","2ji1c74p","130","3wp1qhom","0.8149999976158142","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.640818178653717","0.5812936425209045"
"wise-sweep-64","1yik8uyv","131","3wp1qhom","0.7925000190734863","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.685609757900238","0.5457762479782104"
"glorious-sweep-63","g48or0nb","130","3wp1qhom","0.8025000095367432","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6431155204772949","0.5587698221206665"
"crimson-sweep-62","e9ftneok","129","3wp1qhom","0.8199999928474426","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.6260647177696228","0.5416122078895569"
